time,threads,tps,qps,r,w,o,lat,err,reconn
235,16,4759.00,135970.87,62002.94,64448.94,9518.99,7.56,25.00,0.00
236,16,4714.04,132412.07,60456.49,62527.50,9428.08,7.84,22.00,0.00
237,16,4762.94,136634.37,62390.26,64718.23,9525.89,7.56,23.00,0.00
238,16,4811.04,135492.04,61726.47,64143.49,9622.07,7.70,18.00,0.00
239,16,4707.96,136465.80,62227.45,64822.43,9415.92,7.70,26.00,0.00
240,16,4805.03,135711.81,61859.37,64242.39,9610.06,7.56,27.00,0.00
241,16,4847.97,136233.19,62149.63,64387.62,9695.94,7.43,22.00,0.00
242,16,4771.03,136732.88,62454.40,64736.42,9542.06,7.43,26.00,0.00
243,16,4809.02,136291.64,62237.29,64436.30,9618.05,7.43,18.00,0.00
244,16,4786.55,136549.14,62339.13,64636.91,9573.10,7.43,21.00,0.00
245,16,4837.40,136738.37,62484.20,64579.37,9674.80,7.30,20.00,0.00
246,16,4817.05,135868.35,62057.62,64177.64,9633.10,7.43,27.00,0.00
247,16,4925.01,136397.27,62216.12,64330.13,9851.02,7.30,21.00,0.00
248,16,4704.00,134694.02,61453.01,63833.01,9408.00,7.70,25.00,0.00
249,16,4658.01,133557.16,60888.07,63353.08,9316.01,7.70,22.00,0.00
250,16,4708.97,132726.09,60515.58,62792.57,9417.94,7.70,26.00,0.00
251,16,4690.02,132997.55,60598.25,63019.26,9380.04,8.13,25.00,0.00
252,16,4695.92,132735.47,60590.48,62753.15,9391.84,7.70,22.98,0.00
253,16,4742.14,132520.66,60369.44,62666.93,9484.28,7.56,20.02,0.00
254,16,4697.97,132865.17,60579.62,62889.61,9395.94,7.70,19.00,0.00
255,16,4605.00,132150.04,60196.02,62744.02,9210.00,9.39,26.00,0.00
256,16,4713.99,133110.80,60785.91,62897.91,9426.99,7.56,19.00,0.00
257,16,4763.01,133468.33,60918.15,63023.16,9527.02,7.56,24.00,0.00
258,16,4704.98,133282.31,60831.69,63040.68,9409.95,7.56,15.00,0.00
259,16,4607.03,132683.84,60510.38,62959.40,9214.06,8.13,17.00,0.00
260,16,4722.98,133010.41,60601.73,62962.72,9445.96,7.70,21.00,0.00
261,16,4656.02,133046.49,60719.22,63015.23,9312.03,7.70,19.00,0.00
262,16,4615.99,133385.85,60916.93,63236.93,9231.99,7.70,28.00,0.00
263,16,4639.00,132856.95,60638.98,62940.98,9277.00,7.84,21.00,0.00
264,16,4726.96,132655.98,60565.54,62635.52,9454.93,7.70,18.00,0.00
265,16,4648.03,133133.92,60788.42,63050.43,9295.06,7.56,17.00,0.00
266,16,4614.99,132535.76,60441.89,62863.89,9229.98,7.84,23.00,0.00
267,16,4527.01,130001.16,59340.07,61607.08,9054.01,8.58,21.00,0.00
268,16,4745.03,132567.74,60453.34,62623.35,9491.05,7.70,19.00,0.00
269,16,4643.01,133873.15,61130.07,63457.07,9286.01,7.70,25.00,0.00
270,16,4630.89,133242.95,60823.61,63157.55,9261.79,7.70,17.00,0.00
271,16,4775.05,132715.51,60561.69,62604.71,9549.11,7.56,24.00,0.00
272,16,4659.98,132881.50,60687.77,62872.76,9320.96,7.56,18.00,0.00
273,16,4641.07,134078.91,61290.87,63505.91,9282.13,7.56,16.00,0.00
274,16,4565.91,132604.37,60544.80,62928.75,9130.82,7.98,22.00,0.00
275,16,4691.08,133770.40,61116.10,63271.14,9383.17,7.56,32.00,0.00
276,16,4686.97,133174.24,60736.65,63063.64,9373.95,7.84,13.00,0.00
277,16,4801.02,136076.56,62141.26,64334.27,9601.04,7.43,22.00,0.00
278,16,4668.98,135700.44,61987.74,64375.73,9336.96,7.43,31.00,0.00
279,16,4861.02,135335.56,61708.26,63904.27,9723.04,7.43,18.00,0.00
280,16,4795.91,135391.35,61754.79,64043.75,9592.81,7.43,20.00,0.00
281,16,4761.93,135315.96,61671.07,64121.03,9523.86,7.56,14.00,0.00
282,16,4789.17,135253.86,61653.22,64022.30,9578.34,7.56,23.00,0.00
283,16,4692.96,135477.91,61829.50,64263.48,9384.92,7.56,28.00,0.00
284,16,4850.97,137322.11,62699.59,64919.58,9702.94,7.30,14.00,0.00
285,16,4744.06,135658.79,61911.82,64258.85,9488.13,7.56,24.00,0.00
286,16,4769.98,135371.44,61715.75,64115.74,9539.96,7.56,23.00,0.00
287,16,4755.99,135439.58,61760.81,64166.80,9511.97,7.56,26.00,0.00
288,16,4790.01,136886.27,62571.13,64735.13,9580.02,7.30,28.00,0.00
289,16,4769.01,135465.24,61788.11,64140.11,9537.02,7.56,22.00,0.00
290,16,4655.02,135725.67,61998.30,64416.32,9311.05,7.56,22.00,0.00
291,16,4781.95,135616.58,61884.35,64168.33,9563.90,7.56,24.00,0.00
292,16,4741.03,135041.85,61591.39,63969.40,9481.06,7.56,23.00,0.00
293,16,4838.98,135827.32,61955.69,64192.68,9678.95,7.43,22.00,0.00
294,16,4759.03,135450.94,61729.43,64203.45,9518.07,7.84,29.00,0.00
295,16,4794.98,135607.38,61849.72,64167.71,9589.96,7.43,13.00,0.00
296,16,4845.03,135383.82,61700.37,63994.39,9689.06,7.43,20.00,0.00
297,16,4782.01,136387.28,62211.13,64611.13,9565.02,7.56,29.00,0.00
298,16,4664.00,131309.90,59867.95,62113.95,9327.99,9.22,23.00,0.00
299,16,4860.01,134982.21,61531.10,63731.10,9720.02,7.43,16.00,0.00
300,16,4740.97,136544.05,62391.57,64670.55,9481.93,7.43,22.00,0.00
301,16,4754.02,135008.43,61561.20,63939.20,9508.03,7.56,20.00,0.00
302,16,4718.03,135485.74,61748.34,64301.35,9436.05,7.56,19.00,0.00
303,16,4820.96,135887.74,62011.43,64234.41,9641.91,7.43,25.00,0.00
304,16,4694.01,135572.39,61902.18,64282.19,9388.03,7.43,18.00,0.00
305,16,4740.00,136064.97,62026.99,64558.99,9479.00,7.56,23.00,0.00
306,16,4756.00,135828.92,61962.96,64352.96,9512.99,7.43,24.00,0.00
307,16,4813.02,135875.55,62013.25,64237.26,9625.04,7.30,21.00,0.00
308,16,4718.99,133587.61,60921.82,63226.81,9438.97,7.70,17.00,0.00
309,16,4616.03,132808.79,60583.36,62993.38,9232.06,7.70,18.00,0.00
310,16,4654.00,133401.08,60937.04,63156.04,9308.01,7.56,21.00,0.00
311,16,4634.97,133219.09,60776.59,63172.57,9269.94,7.70,20.00,0.00
312,16,4703.00,134289.92,61406.96,63476.96,9405.99,7.43,12.00,0.00
313,16,4649.92,132942.71,60609.96,63032.91,9299.84,7.70,20.00,0.00
314,16,4665.09,132809.64,60579.20,62900.25,9330.19,7.56,17.00,0.00
315,16,4817.99,132871.67,60509.85,62724.84,9636.98,7.56,18.00,0.00
316,16,4625.01,133037.43,60719.20,63069.20,9249.03,7.56,17.00,0.00
317,16,4664.99,133189.58,60754.81,63105.80,9328.97,7.56,20.00,0.00
318,16,4770.03,134314.89,61352.41,63421.42,9541.06,7.56,24.00,0.00
319,16,4740.96,134432.82,61323.46,63627.44,9481.92,7.56,12.00,0.00
320,16,4718.77,132511.58,60345.08,62728.96,9437.54,7.84,13.00,0.00
321,16,4758.26,133012.26,60621.31,62874.43,9516.52,7.56,19.00,0.00
322,16,4759.98,133319.57,60855.80,62943.80,9519.97,7.43,26.00,0.00
323,16,4710.00,133156.99,60696.00,63042.00,9419.00,7.70,18.00,0.00
324,16,4646.00,133733.06,61003.03,63439.03,9291.00,7.84,20.00,0.00
325,16,4797.04,133249.11,60720.51,62932.52,9596.08,7.56,20.00,0.00
326,16,4678.95,133346.69,60894.40,63094.38,9357.91,7.56,22.00,0.00
327,16,4625.02,132300.52,60307.24,62743.25,9250.04,7.98,18.00,0.00
328,16,4560.98,130062.53,59319.78,61620.78,9121.97,9.22,18.00,0.00
329,16,4647.00,133893.95,61132.98,63467.98,9293.00,7.70,19.00,0.00
